id,preço,estado,data
1,"10,50",SP,20/01/2024
2,"15,75",TO,21/01/2024
3,"20,00",MG,22/01/2024
4,"25,30",SP,23/01/2024
5,"30,40",BA,24/01/2024
6,"35,00",PR,25/01/2024
7,"40,10",SP,26/01/2024
8,"45,20",SP,27/01/2024
9,"50,00",TO,28/01/2024
10,"55,30",DF,29/01/2024
11,"60,40",TO,30/01/2024
12,"65,50",GO,31/01/2024
13,"70,00",MA,01/02/2024
14,"75,60",SP,02/02/2024
15,"80,00",SP,03/02/2024
16,"85,90",TO,04/02/2024
17,"90,10",AM,05/02/2024
18,"95,20",AP,06/02/2024
19,"100,00",RN,07/02/2024
20,"105,30",SE,08/02/2024
